query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
0,0.019528916003764607,241357290821.26562,44852983661904.086,2331305332693.8535,2230382996496900.0,1984847,0.0009370354980086904
1,0.03216167999926256,218911316735.22656,9653659579865.91,2981041818499.791,482166781991700.0,70283,0.005728578999894919
2,0.035309397004311904,124742103784.521,2618867047215.506,1707561074705.0376,131163008162400.0,15938,0.012067571437220646
3,0.1206426009957795,7107126261.630417,68987429757.0891,98458504564.2312,3308254894800.0,3054,0.027613161986456736
3,0.1206426009957795,6935723248.351349,65700440328.20221,98787840143.09802,3287647255200.0,2996,0.027938555983908
3,0.1206426009957795,6915389733.740532,65317107515.054695,98945039049.88298,3416451746700.0,3225,0.026937201558615665
3,0.1206426009957795,7126437706.23642,69364882849.77538,101697662642.8272,3558567603000.0,3312,0.026575643766571653
3,0.1206426009957795,6854570661.745552,64173576768.11947,98913997621.53172,3305553658800.0,3021,0.02784992665743205
3,0.1206426009957795,6885268633.349373,64747988015.794624,100105838627.4724,3355903895400.0,3040,0.02777808092833117
3,0.1206426009957795,6990746280.101227,66747451904.46341,98879650232.15959,3290705636100.0,2996,0.027923768976480395
3,0.1206426009957795,6968100162.769432,66316839459.38908,98491810304.58212,3270671987700.0,2983,0.027983151623276636
3,0.1206426009957795,6902311623.681114,65073457700.18513,101284347795.11815,3427104071400.0,3097,0.027539880378619843
3,0.1206426009957795,6978326923.81176,66510073791.41917,98754331217.51135,3307320518100.0,3034,0.027749352925256654
3,0.1206426009957795,7010909565.920883,67131372689.65706,98570637186.6979,3281513882700.0,2998,0.027901673097735762
3,0.1206426009957795,6885104718.0494,64746028108.97422,101007931077.5171,3388931954100.0,3045,0.027773595821419774
3,0.1206426009957795,7030581603.991791,67510001726.43561,100588847497.5854,3387043662000.0,3067,0.027622397355913864
3,0.1206426009957795,6980974238.307808,66559509320.84843,101188215838.2154,3450842035500.0,3146,0.027299783829791473
3,0.1206426009957795,6905756210.807838,65132104791.67033,98288675175.6165,3325728878700.0,3097,0.02747756124983029
3,0.1206426009957795,6872921437.223671,64513745753.66303,96871484695.79677,3208765899900.0,2968,0.028047718676322837
3,0.1206426009957795,6973013105.369499,66411006741.87861,99298834597.18169,3339229055100.0,3059,0.027648843481043354
3,0.1206426009957795,6953389209.140663,66034925583.966606,99094414353.41791,3314874262500.0,3027,0.02779623534643111
3,0.1206426009957795,7052627065.230057,67935714404.45891,99095485163.00784,3313267911000.0,3024,0.02778008315964938
3,0.1206426009957795,7138457121.332092,69600497046.68124,100844116660.4849,3483112283400.0,3227,0.026902853515730792
3,0.1206426009957795,6887918936.16951,64797031563.85982,99489696571.29164,3282694601400.0,2945,0.028209074823966087
3,0.1206426009957795,6975727145.578331,66461226234.03602,99216208504.41075,3334275576900.0,3055,0.0276643244481285
3,0.1206426009957795,6940626583.58429,65794215629.32767,100173872398.07715,3346003125300.0,3018,0.02786406417541336
3,0.1206426009957795,6990907725.456345,66749411811.28381,98243378011.84828,3291824812800.0,3037,0.027720937618418796
3,0.1206426009957795,7022965973.6323395,67365026979.74252,99364407001.35794,3355614228600.0,3085,0.027518491321408985
3,0.1206426009957795,6973903276.615997,66421786229.39087,98804598874.22517,3313363919100.0,3042,0.02771524584675048
3,0.1206426009957795,7006087643.031509,67037989369.89569,101041870123.38023,3393956724000.0,3052,0.027706830147651795
3,0.1206426009957795,7116709236.920105,69175176350.02202,100733624723.48102,3474979957500.0,3219,0.026940274945905472
3,0.1206426009957795,7111546417.309982,69076697272.5276,102465588065.98103,3568626510300.0,3281,0.026720095637202176
3,0.1206426009957795,6973773797.036095,66420218303.93455,101923934577.17065,3455974380900.0,3110,0.02747420851985823
3,0.1206426009957795,6998090551.804871,66888702828.19771,101128613478.65413,3417969865500.0,3090,0.027539892576870135
3,0.1206426009957795,7177504208.119003,70363438850.01753,101186466089.44283,3474829592700.0,3190,0.02705426535989562
3,0.1206426009957795,6933254002.751076,65653356686.95745,101292329454.39484,3386160866100.0,3023,0.027866093544551985
3,0.1206426009957795,7020607790.082863,67318923291.90798,101461203714.82718,3464548517100.0,3154,0.027259135052839674
3,0.1206426009957795,7146376121.788406,69750763541.78943,102671331554.07562,3531357665400.0,3200,0.027050490061721635
3,0.1206426009957795,6972996920.456696,66410810751.19656,100096887758.44952,3323421745500.0,2982,0.028020485502354617
